County,year,hu,mhi,mhv,own,pov199,pov99,rm,em,unemp,vhu,pop
Bucks,1990,741.0994400000001,83.93594648680639,273.1513224352856,77.13866493353761,12.4472026430783,3.948597065102096,4.977057102536509,1.6436590670650932,3.90652294156894,4.4584112320017075,541.16835
Bucks,2000,823.1256900000001,90.35837002542569,247.07782088819664,78.80248981145478,13.382784616411922,4.499915993228583,7.537610872823144,2.3435329209424,3.4971477215943887,2.897698298818821,597.63058
Bucks,2010,871.205,90.94254936615653,382.55021555892137,78.2337888097982,17.098758519998512,5.919647464346839,10.812012494222301,4.283413488066354,5.866249164107836,4.31209858608339,625.249
Bucks,2017,875.3589999999999,88.60931561279901,329.5677807644544,77.5776898589426,18.555758226261688,7.016300001280017,11.547744083666675,5.011764029842647,5.291953377535059,4.974401164232102,626.486
Burlington,1990,538.30197,81.56675022929166,234.398367609661,75.4191178947079,14.509364058967785,4.364628105556362,17.80334960031462,3.2447794868769244,4.453231426631275,4.36484471419977,395.06600000000003
Burlington,2000,584.70501,88.48912516841439,203.6362221153021,77.37655983988566,13.505108618352049,4.749289880207318,21.610133969224922,4.164442354882189,3.949558909013696,4.482269860211096,423.39401
Burlington,2010,624.3489999999999,91.88039620265015,323.5109610491024,78.01041292392559,16.776806570330574,6.5077656451577734,26.160709908319852,6.424964455557189,7.183762610718241,5.410144364446982,448.734
Burlington,2017,627.37,88.36284759078522,257.47702202893373,76.28259024503076,20.95597893587324,8.678019527607466,27.49269799996438,7.648399793406828,7.026823362479417,7.768461156645099,449.192
Camden,1990,692.95205,69.09296472730318,182.198009437703,70.84235026905763,23.503156416380634,10.576830226794764,23.363081147698797,7.164096748951726,6.589880611716769,5.781786999396807,502.81204
Camden,2000,707.12327,72.59341563341084,155.29089598160232,70.88634539570373,24.173866255404263,10.728494016664747,29.111480185933615,9.667620923873901,6.769026598746992,6.862882130740285,507.91522
Camden,2010,718.6,72.70711427244251,243.68997686783203,68.91243755544343,29.932784375565298,14.507716401506674,34.70564987919954,14.235959015451945,9.640537698995466,6.672535176783161,513.657
Camden,2017,716.879,71.0590496657508,194.6878464429762,67.8204543529663,33.91371687288022,16.58039386390932,36.78776350499809,16.124588059397727,8.191494622802123,8.876346583730069,510.996
Chester,1990,515.98415,88.80684064803475,296.8270040395265,75.32636338329468,13.34669837005709,4.886626896105143,8.359605247244906,2.2755794124240185,2.9845930333970196,4.373177718772225,376.3898
Chester,2000,597.27292,98.77823366901747,266.9329038292845,77.55924038828819,13.697318121736458,5.3616174205086296,10.78563320709597,3.719955184091503,3.7321286039068386,3.481526437996061,433.50018
Chester,2010,691.348,102.57438640720424,385.78247919820143,77.15922509039545,15.236495055792235,5.507664956315561,14.468034781493166,6.515115677729982,4.966813503986577,4.799175896366743,498.886
Chester,2017,712.571,99.72973250996624,348.53571304281525,76.13606592906403,18.467449802967842,7.636493737151136,14.213487949138445,7.240620846708066,4.702490311704995,4.603248121604224,514.652
Delaware,1990,758.6841300000001,73.3238709115724,229.81985512944303,73.6995187568164,17.654380958164083,6.989999874620265,13.4957427599058,1.0952049459541586,4.745371248720604,4.407262009794871,547.65736
Delaware,2000,767.84328,76.99050925857654,201.20488708506633,72.94775354446159,19.56318007932523,8.035771834233435,19.680920633978484,1.5190692121633353,5.03628087405788,4.737117702698826,550.86494
Delaware,2010,781.8810000000001,77.52672596831009,290.91755345756235,71.16836471930438,26.620821516473296,11.971633663388895,27.504789983165736,2.9584295653325077,7.482310893596624,6.187132834074648,558.979
Delaware,2017,787.153,78.19617868807066,256.3705096094367,70.04755295130566,27.30091501610534,12.358507999500834,30.258580293370063,3.5675489541769023,6.987728918284939,8.066200176382544,563.384
Gloucester,1990,312.55796,72.90554092621089,190.4800125088683,79.10245886147155,17.936620339146007,6.33962769833541,10.680244091491316,1.7953740908936284,5.07203234588921,4.236315718508566,230.09411
Gloucester,2000,351.21501,79.33152327348677,176.03112113092885,80.0833955594033,16.825776851929536,6.466560012864347,13.002211801532374,2.5991199217826426,5.743461554071038,4.336666772009652,255.68999
Gloucester,2010,398.084,83.7021207925408,274.36748212898215,80.72610617920591,21.194505144147477,8.865710152279128,16.44119769119769,4.756354756354757,8.165554789685995,4.879994475184742,288.288
Gloucester,2017,403.88800000000003,83.49736477080845,222.34888218497315,80.10307750453879,21.000217357977732,10.195440733290836,18.273890421866206,5.765481926883846,7.526147959019297,6.712095792892109,291.372
Mercer,1990,447.34317,80.31829279033522,285.0593561936733,66.84441197915085,18.046263406003323,7.436958716299947,24.638327148110744,5.9036910698691525,5.469091036620949,5.339022077442609,323.69921999999997
Mercer,2000,482.121,89.05099190665489,252.169662701593,67.55574498330402,19.946745286250508,8.591048646425769,31.317397045926644,9.637280934435703,7.07119947883505,5.378337098325754,348.86604
Mercer,2010,507.782,89.95956373852898,374.9999265972234,65.88829889776167,26.595299539520703,13.269795269158235,38.39485044457975,15.074846275787547,8.41403364647911,6.902448400910825,364.614
Mercer,2017,516.9169999999999,88.64007867780485,317.49561111528675,64.19614917192227,29.66669726614615,13.619644812261795,36.46827655073927,16.901098429128236,7.643197078872564,9.939716730816752,372.532
Montgomery,1990,943.9693199999999,86.51820133879298,287.5801822021652,73.27107049452897,11.641490883825083,3.6027851751962094,8.556693881857358,1.232393826520882,3.1392271208580658,3.854345432722641,678.1127299999999
Montgomery,2000,1047.53384,93.27687185027928,253.38152646428406,74.63048976489937,12.971466349107386,4.450500420199208,13.543148186812902,2.0397328419235623,4.448619734769158,3.6253480551859316,750.09908
Montgomery,2010,1125.609,92.25268221883786,358.11816395410875,74.11410246807331,17.145421184152443,6.164401061792797,18.859595386273337,4.279799068353266,5.301443463284836,5.270420848445374,799.874
Montgomery,2017,1149.777,91.26026519687397,319.5068672970715,72.94762607899764,17.96315871427163,6.846136446504329,20.126741071264977,4.8823895138131395,5.163339560524013,5.194336257382032,818.677
Philadelphia,1990,2254.74679,45.55907977389704,106.91251307666302,63.33505987390844,39.851455724925536,20.453856931367987,46.54902948358276,5.621699201240728,10.684206682059285,10.180575436962028,1580.50579
Philadelphia,2000,2179.04572,44.40416845170474,96.33429620404141,60.10951215501198,43.25231446681612,22.984007393204077,54.975860302894745,8.496091682831269,11.83874867352208,10.505033167919768,1517.46306
Philadelphia,2010,2196.094,42.18007179915149,172.80756518807135,54.68013700263876,52.834287942692455,30.13596998532135,58.96339984927422,12.294242930633377,13.341989061935392,10.133215891429987,1525.95
Philadelphia,2017,2249.533,43.05934672242922,172.17326911727454,52.703593953665255,55.118336961212265,31.237597379777124,58.44926630467676,14.129010350668969,12.281465430122601,12.4101838008237,1569.657
Region,1990,7205.63898,69.44644205578129,206.68699701937433,70.62889398031801,23.135240149821946,10.323417466331867,23.53740324345106,3.724244906742529,6.344958241884029,6.277678527205572,5175.5054
Region,2000,7539.98574,74.69598257491958,187.27112092613712,70.72513936775363,24.021251848197082,11.101057015455632,28.185385637067125,5.379836897418692,6.838826151105572,6.106713443972292,5385.4231
Region,2010,7914.951999999999,75.59565717671725,290.38332547912114,68.93282338759755,29.515363710269536,14.521866904679555,32.48769476218171,8.32631163264809,8.625615372701517,6.7540608619966145,5624.231
Region,2017,8039.447,74.6009166920852,255.51901552626902,67.49793962703464,31.756954065666296,15.791007644583512,33.213053538356476,9.568427069828166,7.9692012318342424,8.299401189455455,5716.948
